ORG. JUR,RAZON SOCIAL,NIT,MUN-COMERCIAL,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD,NOMBRE PROPIO,NOMBRE REPRESENTANTE LEGAL
12,ASOCIACION  DE PESCADORES EL DIQUE - ASODIQUE,9012682909,81736 - SARAVENA,A0312 ** Pesca de agua dulce,A0150 ** Explotacion mixta (agricola y pecuaria),S9499 ** Actividades de otras asociaciones n.c.p.,,,,PINTO VILLAMIZAR JAVIER
16,FRESH AND GREEN LATIN GROUP S.A.S ZESE,9015234378,81736 - SARAVENA,A0150 ** Explotacion mixta (agricola y pecuaria),C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,EXPLOTACION MIXTA. PROCESAMIENTO Y CONSERVACION DE FRUTAS  LEGUMBRES  HORTALIZAS Y TUBERCULOS. COMERCIO DE PRODUCTOS AGROPEUARIOS Y ANIMALES VIVOS  COMERCIO DE PRODUCTOS E INSUMOS AGROPECUARIOS.,,ALZA ALZA JULIO CESAR
1,ROPERO GUERRERO LIBARDO,961882787,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,ACTIVIDADES DE APOYO A LA AGRICULTURA  COMERCIO DE PRODUCTOS CÁRNICOS,,
1,AROCA TRUJILLO LEYDY JOHANA,10986197099,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,ACTIVIDADES DE APOYO A LA AGRICULTURA  TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL  COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA  PINTURAS Y PRODUCTOS DE VIDRIO  ACTIVIDADES DE APOYO A LA AGRICULTURA COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS,,
1,RINCON GARCIA FREDDY MAURICIO,10986872120,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,A0162 ** Actividades de apoyo a la ganaderia,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,,ACTIVIDADES DE APOYO A LA GANADERÍA Y A LA AGRICULTURA  COMERCIO AL POR MENOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS.,,
1,RUIZ LOPEZ ELKIN,915367207,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,E3811 ** Recoleccion de desechos no peligrosos,,,SERVICIO DE ARBOLIZACION Y JARDINERÍA  RECOLECCIÓN DE DESECHOS  NO PELIGROSOS  ACTIVIDADES DE APOYO A LA  AGRICULTURA.,,
12,COOPERATIVA MULTIACTIVA AGROPECUARIA DE CACAOTEROS DEL DEPARTAMENTO DE ARAUCA,9000663311,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,N8230 ** Organizacion de convenciones y eventos comerciales,,,,AMADO CASTRO DABINSON DUBIAN
12,CORPORACION DE LA PRODUCTIVIDAD AGROPECUARIA CORRPROAGRO,9008123179,81736 - SARAVENA,A0161 ** Actividades de apoyo a la agricultura,A0162 ** Actividades de apoyo a la ganaderia,G4653 ** Comercio al por mayor de maquinaria y equipo agropecuarios,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,,,GARCIA DUARTE JENNIFER
2,COMERCIALIZADORA LA MUNDIAL A&B,,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,A0122 ** Cultivo de platano y banano,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,ACTIVIDADES DE APOYO A LA GANADERIA COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL),PAEZ CONTRERAS ALDRUBAL,
1,MENDOZA SANTOS GLEYDER FERNANDO,10065948275,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,,,,ACTIVIDADES DE APOYO A LA GANADERIA,,
12,COMITE REGIONAL DE GANADEROS DEL SARARE,8340006345,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,A0161 ** Actividades de apoyo a la agricultura,N8230 ** Organizacion de convenciones y eventos comerciales,,,,CACERES SUAREZ ALEXANDER
12,ASOCIACION  AGRICOLA Y GANADERA DEL SARARE,9010853402,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,A0161 ** Actividades de apoyo a la agricultura,,,,,JIMENEZ CIRO
16,PROFESIONALES AL SERVICIO DEL SECTOR AGROPECUARIO S.A.S,9008927933,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,G4690 ** Comercio al por mayor no especializado,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,M7500 ** Actividades veterinarias,,,TORRES GARCIA SHIRLEY GARCIA
16,ESPECIALISTAS EN PRODUCCION GANADERA S.A.S,9012421012,81736 - SARAVENA,A0162 ** Actividades de apoyo a la ganaderia,,,,,,ARANGO LEZCANO FERNEY DARIO
16,GREENCO TRADING S.A.S,9011088357,81736 - SARAVENA,A0163 ** Actividades posteriores a la cosecha,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,C1082 ** Elaboracion de cacao  chocolate y productos de confiteria,,,GALEON DAZA JENNIFER
2,VIVERO EL ARAUCANO,,81736 - SARAVENA,A0210 ** Silvicultura y otras actividades forestales,A0130 ** Propagacion de plantas (actividades de los viveros  excepto viveros forestales),A0150 ** Explotacion mixta (agricola y pecuaria),A0161 ** Actividades de apoyo a la agricultura,1. SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES 2. PROPAGACION DE PLANTAS (ACTIVIDADES DE LOS VIVEROS  EXCEPTO VIVEROS FORESTALES) 3. EXPLOTACION MIXTA (AGRICOLA Y PECUARIA),TARAZONA ORTIZ FREDY,
1,TELLEZ ROPERO DENIS CONSUELO,635549071,81736 - SARAVENA,A0220 ** Extraccion de madera,G4789 ** Comercio al por menor de otros productos en puestos de venta moviles,H4922 ** Transporte mixto,,1. PROCESAMIENTO DE MADERA  EN TABLA 2. COMERCIO DE MADERA 3. TRANSPORTE MIXTO,,
2,DISTRIBUIDORA DE MADERAS EMIR,,81736 - SARAVENA,A0220 ** Extraccion de madera,,,,COMERCIALIZACIóN DE MADERA,SONIA MAGERLY CAMPOS DURAN,
2,MADERAS VILLAMIZAR,,81736 - SARAVENA,A0220 ** Extraccion de madera,F4112 ** Construccion de edificios no residenciales,,,Explotación Y transformación de madera,VILLAMIZAR CRISTANCHO RAFAEL,
12,ASOCIACION DE PRODUCTORES Y PESCADORES DE ARAUCA,9011193432,81736 - SARAVENA,A0312 ** Pesca de agua dulce,A0322 ** Acuicultura de agua dulce,S9499 ** Actividades de otras asociaciones n.c.p.,,,,MARTINEZ GUTIERREZ WALTER ERLEY
12,ASOCIACION DE PESCADORES DE BRISAS DEL RIO ARAUCA,9007151453,81736 - SARAVENA,A0312 ** Pesca de agua dulce,,,,,,VALENCIA CASTELLANOS YAMILE
2,PERCHAS MODA,,81736 - SARAVENA,C1410 ** Confeccion de prendas de vestir  excepto prendas de piel,,,,CONFECIONES DE PRENDAS DE VESTIR,PASTOR GARAVITO ORDUZ,
12,ASOCIACION DE CULTIVADORES DE PECES EDEN,9002007333,81736 - SARAVENA,A0321 ** Acuicultura maritima,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,,,DIAZ GAMBOA GUSTAVO
1,HENAO ACEVEDO DUVAN  HERNEY,98177330,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,A0149 ** Cria de otros animales n.c.p.,A0150 ** Explotacion mixta (agricola y pecuaria),G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,ACUICULTURA DE AGUA DULCE CRIA DE OTROS ANIMALES N.C.P. EXPLOTACION MIXTA (AGRICOLA Y PECUARIA),,
12,ACUICULTORES ASOCIADOS DEL SARARE,9006749437,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,A0210 ** Silvicultura y otras actividades forestales,,,RAMIREZ GARCIA JUDITH
16,ALEVINOS ARAUCA ZOMAC S.A.S,9012288606,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,A0321 ** Acuicultura maritima,G4653 ** Comercio al por mayor de maquinaria y equipo agropecuarios,,ACUICULTURA DE AGUA DULCE  ACUICULTURA MARITIMA  COMERCIO AL POR MAYOR DE MAQUINARIA Y EQUIPO AGROPECUARIO.,,PABON CORREA SCHNEIDER
2,PECES & PECERAS DEL SARARE,,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,COMERCIALIZACIóN Y CRíA DE PECES PARA ACUARIOS  VENTA DE ALEVINOS,JAIMES PAIPA JOSE HERNANDO,
12,ASOCIACION CAMPESINA DE PESCADORES Y PISCICULTORES DE LA ISLA EL CHARO,9008041638,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,S9499 ** Actividades de otras asociaciones n.c.p.,,,,,GONZALEZ AURORA
16,M&H ACUICULTURA S.A.S ZOMAC,9012290644,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,A0149 ** Cria de otros animales n.c.p.,A0150 ** Explotacion mixta (agricola y pecuaria),G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,,,HENAO ACEVEDO DUVAN HERNEY
1,SALAZAR SABOGAL CARLOS ANDRES,11191843780,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,P8551 ** Formación para el trabajo,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,ACUICULTURA DE AGUA DULCE  COMERCIO DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS  FORMACION PARA EL TRABAJO  OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS N C P.,,
1,PEÑARANDA VACA EZEQUIEL,11008899074,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,ACTIVIDADES DE ACUICULTURA Y VENTA DE PESCADO,,
1,SILVA GELVEZ JORGE,961236901,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,ACTIVIDADES DE ACUICULTURA DE AGUA DULCE Y COMERCIO DE PESCADO,,
1,MOSQUERA MOSQUERA MARLON YESID,11157314703,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,ACUICULTURA DE AGUA DULCE  COMERCIO DE PESCADO,,
1,ARCHILA ROMERO GERARDO ALFONSO,961880021,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,ACUICULTURA DE AGUA DULCE Y COMERCIO DE PESCADO,,
2,COMERCIALIZADORA MI CABALLITO,,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,A0142 ** Cria de caballos y otros equinos,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,ACUICULTURA DE AGUA DULCE  COMERCIO DE PESCADOS  COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS,MORALES ALVAREZ NOLBERTO,
12,ASOCIACION PSCICOLA DEL SARARE,9003415664,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,P8559 ** Otros tipos de educacion n.c.p.,,,,RODRIGUEZ SANCHEZ OSCAR OMAR
12,ASOCIACION DE PRODUCTORES PISCICOLAS DEL SARARE,9010706576,81736 - SARAVENA,A0322 ** Acuicultura de agua dulce,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,,,OVALLE CUESTA RAUL SNEIDER
1,GALVIS ORTEGA APOLINAR,881560129,81736 - SARAVENA,B0811 ** Extraccion de piedra  arena  arcillas comunes  yeso y anhidrita,H4923 ** Transporte de carga por carretera,,,1. EXTRACCION DE PIEDRA  ARENA  ARCILLAS COMUNES  YESO Y ANHIDRITA 2. TRANSPORTE DE CARGA POR CARRETERA,,
16,TRITURADORA EL SOL S.A.S,9003988395,81736 - SARAVENA,B0811 ** Extraccion de piedra  arena  arcillas comunes  yeso y anhidrita,G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion,H4923 ** Transporte de carga por carretera,C2396 ** Corte  tallado y acabado de la piedra,,,ROJAS EDGAR
16,SOLUCIONES DE GESTION E INGENIERIA SOGING S.A.S,9014954083,81736 - SARAVENA,B0910 ** Actividades de apoyo para la extraccion de petroleo y de gas natural,M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica,,,ENSAYOS NO DESTRUCTIVOS  INSPECCION DE INSTRUMENTACION  ALQUILER DE MAQUINARIA PARA LA INDUSTRIA PETROLERA.,,DIAZ CONTRERAS JAIME URIEL
2,HUMOSS INDUSTRIA DE ALIMENTOS CARNICOS,,81736 - SARAVENA,C1011 ** Procesamiento y conservacion de carne y productos carnicos,G4631 ** Comercio al por mayor de productos alimenticios,,,PROCESADORA Y COMERCIALIZADORA DE PRODUCTOS CARNICOS.,ESTUPIÑAN BERNAL HEYSY MARYELY,
2,PROOGRASAS DEL SARARE,,81736 - SARAVENA,C1011 ** Procesamiento y conservacion de carne y productos carnicos,,,,PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS.,DUARTE MOSQUERA CARLOS VIRGILIO,
2,EMBUTIDOS DEL PIEDEMONTE ARAUCANO,,81736 - SARAVENA,C1011 ** Procesamiento y conservacion de carne y productos carnicos,G4631 ** Comercio al por mayor de productos alimenticios,,,COMERCIO  DE CHORIZOS,MAHECHA NIÑO JAVIER EDUARDO,
16,FRIGORIFICO DEL PIEDEMONTE ARAUCANO S.A.S EN LIQUIDACION,9012554432,81736 - SARAVENA,C1011 ** Procesamiento y conservacion de carne y productos carnicos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,M7020 ** Actividades de consultoria de gestion,H4922 ** Transporte mixto,PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS. COMERCIO DE CARNE Y PRODUCTOS CÁRNICOS  ACTIVIDADES PROFESIONALES DE ASESORÍA Y CONSULTORÍA. SERVICIO DE TRANSPORTE DE LOS PRODUCTOS,,CORONEL MEJIA DANIEL ANTONIO
2,COMERCIALIZADORA CHORIJUAN,,81736 - SARAVENA,C1011 ** Procesamiento y conservacion de carne y productos carnicos,,,,procesamiento y conservación de carnes y productos cárnicos,HERNANDEZ OSORIO JUAN CARLOS,
2,CERO FÁT,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados,,,SERVICIO DE DESAYUNOS SALUDABLES  JUGOS NATURALES Y PRODUCTOS NATURALES.,MONTES MENDOZA YENIFER ELIANA,
1,PEDRAZA URIBE LEIRA NAYARIT,11157448727,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,,,,Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,,
1,RANGEL RAMIREZ YAMILE,11157382028,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,,,,PROCESAMIENTO Y CONSERVACION DE FRUTAS,,
2,MI TUTTI FRUTTI LLANERO,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,I5613 ** Expendio de comidas preparadas en cafeterias,,,VENTA DE COMIDA  FRUTAS Y PRODUCTOS ELABORADOS CON LA MISMA.,ARIZA REYES CARLOS JULIO,
2,PULPAS & PULPAS MARKAM,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,H4923 ** Transporte de carga por carretera,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,PROCESAMIENTO Y CONSERVACIÓN DE FRUTAS  LEGUMBRES  HORTALIZAS COMERCIO AL POR MENOR DE PRODUCTOS AGRÍCOLAS PARA EL CONSUMO  COMERCIO DE HUEVOS  SERVICIO DE TRANSPORTE DE ALIMENTOS,CAMPIÑO BEDOYA ALONSO,
2,ROCA DULCE,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados,,,ELABORACION DE PRODUCTOS DE PANADERIA  PASTELERIA Y REPOSTERIA,BELTRAN BALLEN MISAEL EVELIO,
2,PROTEINBARGIGANTEVERDE,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,P8552 ** Enseñanza deportiva y recreativa,,,PREPARACIóN DE BATIDOS A BASE PROTEíNA VEGETAL  Y EJERCICIOS FUNCIONALES,CHAPARRO DINAS LENNIN AUGUSTO,
2,ARTE - SANO COME SANO VIVE ACTIVO,,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,I5611 ** Expendio a la mesa de comidas preparadas,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,,SERVICIO DE BEBIDAS SALUDABLES Y BATIDOS PROTEICOS,ROJAS DIAZ JESSICA PAOLA,
16,FRUTTISARARE S.A.S ZESE,9015846074,81736 - SARAVENA,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,PROCESAMIENTO Y CONSERVACION DE FRUTAS  COMERCIO DE PRODUCTOS AGRICOLAS.,,PEDRAZA URIBE LEIRA NAYARIT
2,SACHA SARARE,,81736 - SARAVENA,C1030 ** Elaboracion de aceites y grasas de origen vegetal y animal,A0150 ** Explotacion mixta (agricola y pecuaria),M7020 ** Actividades de consultoria de gestion,K6611 ** Administracion de mercados financieros,PRODUCCIóN  TRANSFORMACIóN Y COMERCIALIZACIóN DE ACEITE SACHA INCHI Y OTROS,JAIMES OSSES WILSON,
2,LACTEOS WILIAN,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,AREVALO HERNANDEZ WILIAN,
16,ARTMILK S.A.S,9011842677,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACIÓN Y COMERCIALIZACIÓN DE QUESO DOBLE CREMA  YOGURT  QUESO SARAVENA  QUESO COSTEÑO  QUESO CAMPESINO  AREQUIPE  MANTEQUILLA  CREMA DE LECHE  PROCESAMIENTO  EMPACADO Y DISTRIBUCIÓN DE LECHE.,,SILVA ACEVEDO ANYI NAIRETH
1,GELVIS CASTILLA RODRIGO,961687356,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DE PRODUCTOS LACTEOS COMERCIO AL POR MENOR DE LECHE  PRODUCTOS LACTEOS Y HUEVOS,,
1,CASTILLO RODRIGUEZ MIGUEL ANTONIO,42656019,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACIÓN Y COMERCIALIZACIÓN DE PRODUCTOS LÁCTEOS,,
2,LÁCTEOS MI PEQUEÑO JANER,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,Elaboracion de productos lacteos  Comercio al por menor de leche  productos lacteos,PEÑA CUELLAR JENNIFER ERLEIDA,
2,LÁCTEOS EL SABOR DE MABEEL,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACIÓN  COMERCIALIZACIÓN Y TRANSPORTE DE PRODUCTOS LÁCTEOS.,LOZANO CASTELLANOS ROODE ALEXANDER,
2,QUESERA LOS ANDES,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DE PRODUCTOS LACTEOS  COMERCIO  DE QUESOS  DOBLE CREMA,CASTILLO RODRIGUEZ MIGUEL ANTONIO,
2,LACTEOS ALEJANDRO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,LOPEZ RAVELO JHON ALEXANDER,
2,FORTULACT,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS VENTA DE CARNES  PESCADO,PEREZ ROA JORGE ANTONIO,
2,LACTEOS LA PRADERA 2020,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS Y SUS DERIVADOS,VILLAMIZAR COTE DAVID,
2,QUESOS GIRALDO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,GIRALDO HINCAPIE CRISTHIAN ARTURO,
2,LACTEOS DEL CASTILLO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DE PRODUCTOS LACTEOS Y COMERCIALIZACION DE PRODUCTOS LACTEOS,NEIRA PALACIO MAYERLY,
2,LACTEOS DELI CAMPO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DE PRODUCTOS LACTEOS,GALVIS ORTIZ JOHAN ANDRES,
2,LACTEOS KATHY,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,FABRICACION PRODUCCION Y COMERCIALIZACION DE PRODUCTOS LACTEOS Y SUS DERIVADOS,MONTERREY MENDOZA LUZ MAIRA,
1,AGUILAR VIDAL,798937131,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS.,,
1,GALVIS TAVERA INGRID CAROLINA,10987729139,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS  COMERCIO DE FRUTAS  PULPAS Y VERDURAS.,,
1,ACEVEDO ARIZA DIOMAR VICENTE,10493931241,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DD21,,
2,LACTEOS ORIENTE,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,FABRICACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,MONTAÑEZ SUAREZ YOBANNY,
2,PROLACSA,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados,,1. ELABORACION DE PRODUCTOS LACTEOS 2. COMERCIO AL POR MENOR DE LECHE  PRODUCTOS LACTEOS Y HUEVOS  EN ESTABLECIMIENTOS ESPECIALIZADOS. 3. VENTA DE INSUMOS PARA ELABORACION DE PRODUCTOS LACTEOS Y OTROS.,RODRIGUEZ PRADA EVELIO,
2,QUESOS EL ARAUCANO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,1. ELABORACION DE PRODUCTOS LACTEOS,QUESOS ANTONELLA MEJIA S.A.S ZOMAC,
2,LACTEOS E.O.S DEL LLANO,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,CEPEDA GOMEZ SANDY PAOLA,
2,QUESILLOS ESPITIA,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCIALIZACION DE PRODUCTOS LACTEOS,ESPITIA MELO ALIRIO,
2,LACTEOS JOYMA,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION DE PRODUCTOS LACTEOS COMERCIO AL POR MENOR DE LECHE  PRODUCTOS LACTEOS Y HUEVOS,AMAYA LEMUS JOSE MANUEL,
2,QUESOS & LACTEOS DEL ORIENTE DF,,81736 - SARAVENA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACION Y COMERCILIZACION DE PRODUCTOS LACTEOS,FIGUEROA CARDONA FIDEL DARIO,
